"","LabID","majority_class_totalProb","summed_prob","majority_class_probs","second_class","second_prob","second_class_probs","majority_class_ConfRunsCount","confident_called_runs","confident_runs_total","agree","JA_struc","JC_struc","pure_K2_v1_JPfastStruc","pure_K2_v2_JPfastStruc","pure_K3_v1_JPfastStruc","pure_K3_v2_JPfastStruc","pure_K3_v3_JPfastStruc","pure_K4_v1_JPfastStruc","pure_K4_v2_JPfastStruc","pure_K4_v3_JPfastStruc","pure_K4_v4_JPfastStruc","pure_K5_v1_JPfastStruc","pure_K5_v2_JPfastStruc","pure_K5_v3_JPfastStruc","pure_K5_v4_JPfastStruc","pure_K5_v5_JPfastStruc","NewHyb_FinalAssignment"
"2661","100475_1821_S10_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.8e-05,0.999962,0.999834,0.000166,2.5e-05,0.999949,2.5e-05,0.999952,1.6e-05,1.6e-05,1.6e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,1.2e-05,"JC"
"2662","100476_1822_S11_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,4.9e-05,0.999951,0.148166,0.851834,0.999949,2.5e-05,2.5e-05,1.6e-05,1.6e-05,1.6e-05,0.999952,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"JC"
"2663","100477_1823_S12_","BCJCxBC3JC",2.95087,"0.077; 0.136; 0.926; 0.97; 0.842","F2xBCJC",1.81934,"0.914; 0.858; 0.006; 0; 0.042","BCJCxBC3JC",3,5,TRUE,0.180522,0.819478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBC3JC"
"2664","100478_1824_S13_","JC",4.77054,"1; 1; 0.954; 0.998; 0.819","BC6JC",0.21712,"0; 0; 0.046; 0.001; 0.169","JC",5,5,TRUE,0.001363,0.998637,0.846254,0.153746,0.244121,0.755853,2.5e-05,0.105261,1.6e-05,0.760418,0.134305,1.2e-05,0.845579,0.154385,1.2e-05,1.2e-05,"JC"
"2665","100479_1825_S14_","BCJCxBC3JC",2.20493,"0.473; 0; 0.844; 0.105; 0.783","F2xBCJC",1.46277,"0.268; 1; 0.037; 0; 0.159","BCJCxBC3JC",2,4,TRUE,0.178517,0.821483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complexBC_JC"
"2666","100480_1826_S15_","BC3JCxBC3JC",2.09277,"0.095; 0.022; 0.496; 0.878; 0.603","BC4JC",1.23612,"0.87; 0; 0.218; 0.05; 0.098","BC4JC",1,3,FALSE,0.057771,0.942229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complexBC_JC"
"2667","100481_1827_S16_","BCJCxBC3JC",4.78743,"0.98; 0.974; 0.979; 0.906; 0.948","BC2JCxBC3JC",0.0853,"0; 0; 0.001; 0.081; 0.003","BCJCxBC3JC",5,5,TRUE,0.138477,0.861523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCJCxBC3JC"
"2668","100482_1828_S17_","BC3JC",1.98321,"0.044; 0.783; 0.08; 0.764; 0.312","BC2JCxBC3JC",1.57784,"0.674; 0.194; 0.553; 0.047; 0.11","BC3JC",2,2,TRUE,0.073593,0.926407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"complexBC_JC"
"2669","100484_1830_S19_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.9e-05,0.999961,0.557822,0.442178,0.658285,0.34169,2.5e-05,0.68335,1.6e-05,1.6e-05,0.316618,1.2e-05,1.2e-05,0.414943,1.2e-05,0.58502,"JC"
"2670","100486_1832_S21_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.3e-05,0.999967,0.195835,0.804165,0.999949,2.5e-05,2.5e-05,1.6e-05,1.6e-05,1.6e-05,0.999951,1.2e-05,1.2e-05,0.999951,1.2e-05,1.2e-05,"JC"
"2671","100487_1833_S22_","F2xBCJC",5,"1; 1; 1; 1; 1","JC",0,"0; 0; 0; 0; 0","F2xBCJC",5,5,TRUE,0.290518,0.709482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2xBCJC"
"2672","100488_1834_S23_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.3e-05,0.999967,0.903359,0.096641,0.216274,0.783701,2.5e-05,1.6e-05,1.6e-05,0.955069,0.044899,1.2e-05,0.840317,0.159646,1.2e-05,1.2e-05,"JC"
"2673","100489_1835_S24_","JC",4.99823,"1; 1; 0.999; 1; 1","BC6JC",0.00175,"0; 0; 0.001; 0; 0","JC",5,5,TRUE,3.4e-05,0.999966,0.999849,0.000151,2.5e-05,0.999949,2.5e-05,0.999952,1.6e-05,1.6e-05,1.6e-05,1.2e-05,1.2e-05,1.2e-05,0.999951,1.2e-05,"JC"
