"HASC_2","NAME_2","NAME_1","JC","BC6JC","complexBCJC","F1","BC2JAxBC3JC","BCJCxBCJA","BCJC","F2","BCJAxBCJA","BCJCxBC3JC","BCJCxBCJC","BCJA","JA","BC2JC","BCJCxBC2JC","complexBCJA","complexBCF","BC2JCxBC3JC","BC4JC","mean_JC_struc","Hybrids","Total","Hybrid_perc"
"US.KY.TM","Trimble","Kentucky",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961,0,1,0
"US.MD.WA","Washington","Maryland",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999718,0,1,0
"US.ME.AR","Aroostook","Maine",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0,2,0
"US.ME.KE","Kennebec","Maine",0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0.709335,5,5,100
"US.ME.PI","Piscataquis","Maine",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.851233,1,1,100
"US.ME.SO","Somerset","Maine",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996575,0,4,0
"US.ME.YO","York","Maine",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.879596666666667,6,6,100
"US.MI.CS","Cass","Michigan",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999961333333333,0,3,0
"US.MI.CU","Calhoun","Michigan",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.836261,2,2,100
"US.MI.DE","Delta","Michigan",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9982536,1,5,20
"US.MI.EA","Eaton","Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964,0,1,0
"US.MI.IH","Ingham","Michigan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999665,0,2,0
"US.MI.II","Ionia","Michigan",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7576535,1,2,50
"US.MI.KA","Kalamazoo","Michigan",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.609763,1,1,100
"US.MI.MR","Montmorency","Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964,0,1,0
