,index_number,LabID,JP_fastStruc_K2_JA,JP_fastStruc_K2_JC,Country,Description,latitude_dd,Longitude_dd,Canker,mapid,dbh_mm,Natural.Forest.Plantation,Situation,Sample.collection.Year,Resource
110,51-13-78,091020_51-13-78_S159_,3.40E-05,0.999966,USA,1390,42.84209,-85.24254,Y,HTIRC,115,Plantation with wild resources,City level,2025,Seeds
111,Germ69,087655_Germ69_S358_,0.484659,0.515341,USA,1391,42.9822,-85.0747,N,HTIRC,NA,Plantation with wild resources,suburban edge trees,2025,Seeds
112,51-23-41,090885_51-23-41_S24_,0.006854,0.993146,USA,1392,42.2437,-83.62073,Y,HTIRC,96,Plantation with wild resources,Exact Location,2025,Seeds
113,51-24-40,090869_51-24-40_S8_,5.10E-05,0.999949,USA,1393,42.2437,-83.62073,Y,HTIRC,115,Plantation with wild resources,City level,2025,Seeds
114,51-21-35,090923_51-21-35_S62_,3.40E-05,0.999966,USA,1394,42.02615,-85.81208,Y,HTIRC,144,Plantation with wild resources,Exact Location,2025,Seeds
115,51-23-37,090884_51-23-37_S23_,0.000282,0.999718,USA,1398,39.65612,-77.93078,Y,HTIRC,132,Plantation with wild resources,City level,2025,Seeds
116,44-13-14,079320_44-13-14_S325_,3.70E-05,0.999963,USA,1399,42.03585,-92.99877,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
117,51-21-70,090930_51-21-70_S69_,8.30E-05,0.999917,USA,1401,37.95143,-91.77127,Y,HTIRC,102,Plantation with wild resources,City level,2025,Seeds
118,51-11-31,091028_51-11-31_S167_,5.40E-05,0.999946,USA,1402,37.95143,-91.77127,Y,HTIRC,129,Plantation with wild resources,City level,2025,Seeds
119,44-19-22,079297_44-19-22_S302_,0.652189,0.347811,USA,1403,38.16163,-91.92489,N,HTIRC,154,Plantation with wild resources,suburban edge trees,2025,Seeds
120,44-16-15,079310_44-16-15_S315_,0.306449,0.693551,USA,1408,38.99062,-92.30968,N,HTIRC,192,Plantation with wild resources,suburban edge trees,2025,Seeds
121,51-22-56,090910_51-22-56_S49_,4.50E-05,0.999955,USA,1408,38.99062,-92.30968,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
122,44-10-8,079333_44-10-8_S338_,3.50E-05,0.999965,USA,1409,37.95143,-91.77127,N,HTIRC,142,Plantation with wild resources,City level,2025,Seeds
123,51-15-21,090985_51-15-21_S124_,4.10E-05,0.999959,USA,1409,37.95143,-91.77127,Y,HTIRC,131,Plantation with wild resources,City level,2025,Seeds
124,51-11-40,091029_51-11-40_S168_,3.80E-05,0.999962,USA,1411,36.65282,-90.86388,Y,HTIRC,199,Plantation with wild resources,City level,2025,Seeds
125,51-9-65,091049_51-9-65_S188_,3.40E-05,0.999966,USA,1415,37.15739,-91.40051,Y,HTIRC,155,Plantation with wild resources,Exact Location,2025,Seeds
126,51-23-29,090883_51-23-29_S22_,3.50E-05,0.999965,USA,1417,40.63285,-74.37392,Y,HTIRC,114,Plantation with wild resources,Exact Location,2025,Seeds
127,Germ70,087656_Germ70_S359_,3.40E-05,0.999966,USA,1418,40.6584,-74.306,Y,HTIRC,NA,Plantation with wild resources,Exact Location,2025,Seeds
128,51-6-72,091063_51-6-72_S202_,0.196606,0.803394,USA,1419,39.33933,-82.99369,Y,HTIRC,152,Plantation with wild resources,suburban edge trees,2025,Seeds
129,44-5-18,079323_44-5-18_S328_,0.473856,0.526144,USA,1420,38.42797,-82.45641,N,HTIRC,116,Plantation with wild resources,suburban edge trees,2025,Seeds
130,51-12-53,091023_51-12-53_S162_,3.40E-05,0.999966,USA,1420,38.42797,-82.45641,Y,HTIRC,NA,Plantation with wild resources,City level,2025,Seeds
131,44-21-10,079301_44-21-10_S306_,3.60E-05,0.999964,USA,1423,39.33933,-82.99369,N,HTIRC,158,Plantation with wild resources,City level,2025,Seeds
132,44-2-4,079361_44-2-4_S366_,6.10E-05,0.999939,USA,1423,39.33933,-82.99369,N,HTIRC,146,Plantation with wild resources,City level,2025,Seeds
133,44-3-10,079362_44-3-10_S367_,3.50E-05,0.999965,USA,1423,39.33933,-82.99369,Y,HTIRC,121,Plantation with wild resources,City level,2025,Seeds
134,51-22-43,090904_51-22-43_S43_,5.30E-05,0.999947,USA,1423,39.33933,-82.99369,Y,HTIRC,124,Plantation with wild resources,City level,2025,Seeds
135,44-2-11,079369_44-2-11_S374_,0.752861,0.247139,USA,1424,39.33933,-82.99369,N,HTIRC,108,Plantation with wild resources,suburban edge trees,2025,Seeds
136,51-18-78,090968_51-18-78_S107_,3.70E-05,0.999963,USA,1424,39.33933,-82.99369,Y,HTIRC,115,Plantation with wild resources,City level,2025,Seeds
137,44-19-12,079299_44-19-12_S304_,3.40E-05,0.999966,USA,1424,39.33933,-82.99369,,HTIRC,195,Plantation with wild resources,City level,2025,Seeds
