"HASC_2","NAME_2","NAME_1","JC","complexBCJC","F1","BCJCxBCJA","F2xBCJC","BCJCxBC2JAvs","BC2JC","BCJC","F2","complexBCF","complexBCJA","BCJA","JA","BCJAxBCJA","BCJCxBC3JC","BC2JCxBC3JC","BC4JC","F1xBCJA","F1xF2","BCJCxBCJC","BC6JC","BCJCxBC2JC","BC2JAxBC3JC","mean_JC_struc"
"US.MI.DE","Delta","Michigan",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9982536
"US.MI.EA","Eaton","Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964
"US.MI.IH","Ingham","Michigan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999665
"US.MI.II","Ionia","Michigan",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7576535
"US.MI.KA","Kalamazoo","Michigan",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609763
"US.MI.MR","Montmorency","Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964
"US.MI.OD","Oakland","Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999964
"US.MI.SH","Shiawassee","Michigan",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999965
"US.MI.VA","Van Buren","Michigan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998271
"US.MI.WE","Wexford","Michigan",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965449833333333
"US.MI.WS","Washtenaw","Michigan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9965475
"US.MI.WY","Wayne","Michigan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966
"US.MN.AI","Aitkin","Minnesota",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939136666666667
"US.MN.AN","Anoka","Minnesota",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994085
"US.MN.BR","Brown","Minnesota",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989409
"US.MN.CG","Chisago","Minnesota",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996888
"US.MN.CS","Cass","Minnesota",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999952
"US.MN.CW","Crow Wing","Minnesota",7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987441
"US.MN.DA","Dakota","Minnesota",14,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954728117647059
