"","ID","z","index"
"788","1670",NA,"788"
"789","1673",NA,"789"
"790","1674",NA,"790"
"791","1675",NA,"791"
"792","1676","z0","792"
"793","1677",NA,"793"
"794","1679",NA,"794"
"795","1681",NA,"795"
"796","1682",NA,"796"
"797","1683",NA,"797"
"798","1684",NA,"798"
"799","1685","z0","799"
"800","1688","z0","800"
"801","1689",NA,"801"
"802","1690",NA,"802"
"803","1692",NA,"803"
"804","1693","z0","804"
"805","1694","z0","805"
"806","1695","z0","806"
"807","1697",NA,"807"
"808","1698","z0","808"
"809","1699","z0","809"
"810","1700","z0","810"
"811","1701",NA,"811"
"812","1702","z0","812"
"813","1703","z0","813"
"814","1704",NA,"814"
"815","1705",NA,"815"
"816","1706",NA,"816"
"817","1707",NA,"817"
"818","1708",NA,"818"
"819","1709","z0","819"
"820","1710","z0","820"
"821","1711",NA,"821"
"822","1712",NA,"822"
"823","1713",NA,"823"
"824","1714",NA,"824"
"825","1715",NA,"825"
"826","1716",NA,"826"
"827","1717",NA,"827"
"828","1718",NA,"828"
"829","1719","z0","829"
"830","1720","z0","830"
"831","1721",NA,"831"
"832","1722","z0","832"
"833","1723","z0","833"
"834","1724","z0","834"
"835","1725",NA,"835"
"836","1726",NA,"836"
"837","1727","z0","837"
"838","1728","z0","838"
"839","1730",NA,"839"
"840","1731",NA,"840"
"841","1733",NA,"841"
"842","1734","z0","842"
"843","1735",NA,"843"
"844","1737",NA,"844"
"845","1738",NA,"845"
"846","1739",NA,"846"
"847","1740","z0","847"
"848","1741",NA,"848"
"849","1742","z0","849"
"850","1743","z0","850"
"851","1744","z0","851"
"852","1745",NA,"852"
"853","1746",NA,"853"
"854","1747",NA,"854"
"855","1748",NA,"855"
"856","1541",NA,"856"
"857","1542",NA,"857"
"858","1543",NA,"858"
"859","1544","z0","859"
"860","1545",NA,"860"
"861","1546",NA,"861"
"862","1547",NA,"862"
"863","1548",NA,"863"
"864","1549",NA,"864"
"865","1550",NA,"865"
"866","1551","z0","866"
"867","1553",NA,"867"
"868","1554",NA,"868"
"869","1555",NA,"869"
"870","1556",NA,"870"
"871","1557",NA,"871"
"872","1558",NA,"872"
"873","1559",NA,"873"
"874","1560",NA,"874"
